ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
SWKS,21.8465,-11.3305,11.6425,-12.8221,8.1254,-9.2709,-8.5568,-1.481,2.055,25.29,-12.72,-39.17,-8.87
QCOM,20.1901,-3.29,18.5631,-7.7617,12.0259,-11.1912,5.6622,-0.98,3.033,25.22,-5.28,28.04,16.0
MET,6.8894,-4.3294,4.88,-3.8388,2.3256,-5.2311,5.0942,0.1375,0.5824,25.04,2.82,73.94,33.93
TT,57.4617,-3.3749,26.2612,-11.2153,21.4539,-8.6808,54.0697,18.86,5.3392,24.89,71.82,94.1,63.6
EXPD,13.7327,-2.4877,8.4048,-5.929,5.0977,-4.1834,1.1137,-0.0404,1.2564,24.65,-0.48,8.11,10.76
D,3.9474,-6.0155,2.5826,-4.6197,1.9022,-3.9163,1.112,0.6193,0.4655,24.47,23.98,28.17,25.54
TGT,35.6698,-13.0401,18.0648,-19.7278,7.1902,-17.8855,-11.8112,-7.6012,1.7311,24.08,-42.08,-33.11,-17.04
MDT,8.9012,-5.8063,4.5359,-4.8718,2.9714,-8.2655,1.3041,0.186,0.7071,23.8,4.1,14.65,14.18
APD,26.4889,-3.7115,17.4649,-13.0391,14.1546,-12.5223,8.7034,-3.707,3.3631,23.76,-21.23,32.86,11.8
JETS,2.0714,-3.4661,2.0202,-4.6144,1.5936,-4.1793,0.9285,0.0016,0.3764,23.62,0.08,44.82,22.84
LIN,41.3634,-2.7566,21.4423,-7.905,13.7771,-13.4849,28.7881,5.6116,3.2185,23.36,26.17,69.6,39.71
PEP,11.1747,-6.1964,5.8835,-6.7906,3.3058,-6.6339,-6.1964,-5.5675,0.7653,23.15,-94.63,-55.45,-42.31
CELH,13.1773,-4.5808,9.2539,-9.865,8.9917,-6.2096,-1.0682,2.9912,2.0755,23.08,32.32,-8.11,15.77
FND,20.4901,-5.1231,9.9561,-11.3565,6.5982,-7.2241,-5.1231,-5.6996,1.5142,22.95,-57.25,-25.0,-19.77
XRT,13.4018,-1.8059,9.0026,-5.6402,5.2321,-3.7997,2.5388,0.8537,1.1863,22.67,9.48,18.94,17.03
CE,15.1553,-19.9234,10.924,-19.0471,7.0382,-15.3996,-19.7541,-5.9883,1.5882,22.57,-54.82,-130.34,-54.2
LYB,9.4936,-5.7863,6.4306,-6.857,3.9212,-7.5734,-5.7863,-4.282,0.8696,22.18,-66.59,-60.95,-35.12
T,3.3261,-0.5776,1.8265,-0.8896,0.9972,-1.2255,3.3261,1.2915,0.221,22.16,70.71,100.0,64.29
AER,12.6407,-6.3634,6.6587,-9.3111,4.3015,-10.8468,12.6407,5.5117,0.9527,22.15,82.77,100.0,68.31
SNOW,19.3226,-32.0119,30.6591,-43.7055,32.6463,-29.3227,6.4397,16.6494,7.2099,22.08,54.3,33.33,36.57
NRG,25.9149,-3.1725,17.5272,-2.2146,15.809,-3.7663,25.9149,17.5272,3.4786,22.0,100.0,100.0,74.0
XLU,5.0242,-1.227,3.819,-1.8605,1.8537,-4.0728,5.0242,1.3858,0.4043,21.81,36.29,100.0,52.7
CMCSA,4.8185,-2.877,2.3956,-3.3659,1.5872,-2.1425,-1.1064,-0.5632,0.3453,21.76,-23.51,-22.96,-8.24
BSX,13.8234,-3.9573,6.5123,-2.7422,3.244,-3.8269,13.5843,2.9755,0.6949,21.42,45.69,98.27,55.13
GILD,12.1807,-3.735,8.0433,-2.8884,5.0828,-2.2612,11.5021,4.3868,1.086,21.37,54.54,94.43,56.78
SPG,18.4558,-18.4805,9.6779,-18.6479,7.0252,-16.645,13.5086,-0.7872,1.4622,20.81,-8.13,73.19,28.62
PLTR,29.1395,-2.6558,17.3849,-3.2303,12.5183,-3.7286,29.1395,16.6962,2.5852,20.65,96.04,100.0,72.23
CI,30.4688,-6.5204,18.7886,-14.505,11.55,-15.6854,11.3372,2.2983,2.3687,20.51,12.23,37.21,23.32
