Stock,Earnings Date,Sector,Industry
LMT,07/23/2026,Industrials,Aerospace and Defense
TSCO,07/23/2026,Consumer Cyclical,Specialty Retail
NSC,07/23/2026,Industrials,Railroads
TMO,07/23/2026,Healthcare,Diagnostics and Research
HBAN,07/23/2026,Healthcare,Banks Regional
SAP,07/23/2026,Technology,Information Technology
RTX,07/23/2026,Industrials,Aerospace and Defense
BX,07/23/2026,Financials,Unknown
ROP,07/23/2026,Technology,Software Application
UNP,07/23/2026,Industrials,Railroads
INTC,07/23/2026,Technology,Semiconductors
INFY,07/23/2026,Technology,Information Technology
DLR,07/23/2026,Real Estate,Real Estate
EW,07/23/2026,Healthcare,Medical Devices
HON,07/23/2026,Industrials,Conglomerates
CMCSA,07/23/2026,Communication Services,Telecom Services
DOW,07/23/2026,Basic Materials,Chemicals
CLF,07/23/2026,Basic Materials,Steel
DECK,07/23/2026,Consumer Cyclical,Footwear and Accesories
NEM,07/23/2026,Basic Materials,Gold Miners
TECK,07/23/2026,Basic Materials,Other Industrial Metals and Mining
FCX,07/23/2026,Basic Materials,Copper
GOOGL,07/23/2026,Communication Services,Internet Content and Information
TMUS,07/23/2026,Communication Services,Telecom Services
GOOG,07/23/2026,Communication Services,Internet Content and Information
SLB,07/24/2026,Energy,Oil and Gas Equipment and Services
AON,07/24/2026,Financials,Insurance Brokers
AXP,07/24/2026,Financials,Credit Services
VZ,07/24/2026,Communication Services,Telecom Services
SCCO,07/27/2026,Basic Materials,Copper
BRO,07/27/2026,Financials,Insurance Brokers
WELL,07/27/2026,Real Estate,Real Estate
CDNS,07/27/2026,Technology,Software Application
NUE,07/27/2026,Basic Materials,Steel
HLT,07/28/2026,Consumer Cyclical,Lodging
AMT,07/28/2026,Real Estate,Real Estate
GLW,07/28/2026,Technology,Electronic Components
WM,07/28/2026,Industrials,Waste Management
CZR,07/28/2026,Consumer Cyclical,Resorts/Casinos/Gambling
MARA,07/28/2026,Financials,Capital Markets
UPS,07/28/2026,Industrials,Integrated Freight and Logistics
KO,07/28/2026,Consumer Defensive,Beverages
PCAR,07/28/2026,Industrials,Farm and Heavy Construction Machinery
PYPL,07/28/2026,Financials,Credit Services
CSTM,07/28/2026,Basic Materials,Unknown
SPGI,07/28/2026,Financials,Financial Data and Stock Exchanges
JCI,07/28/2026,Industrials,Building Products and Equipment
ECL,07/28/2026,Basic Materials,Specialty Chemicals
V,07/28/2026,Financials,Credit Services
SHW,07/28/2026,Basic Materials,Specialty Chemicals
CARR,07/28/2026,Industrials,Building Products and Equipment
PPG,07/28/2026,Basic Materials,Specialty Chemicals
BA,07/28/2026,Industrials,Aerospace and Defense
CWH,07/28/2026,Consumer Cyclical,Auto and Truck Dealerships
KLAC,07/28/2026,Technology,Semiconductors Equipment and Materials
EXR,07/28/2026,Real Estate,Real Estate
FE,07/28/2026,Utilities,Regulated Electric
NXPI,07/28/2026,Technology,Semiconductors
F,07/28/2026,Consumer Cyclical,Auto Manufacturers
QRVO,07/28/2026,Technology,Semiconductors
RCL,07/28/2026,Consumer Cyclical,Travel Services
CNP,07/28/2026,Utilities,Regulated Electric
GD,07/29/2026,Industrials,Aerospace and Defense
LRCX,07/29/2026,Technology,Semiconductors Equipment and Materials
PSN,07/29/2026,Technology,Information Technology
MGM,07/29/2026,Consumer Cyclical,Resorts/Casinos/Gambling
SOFI,07/29/2026,Financials,Credit Services
QCOM,07/29/2026,Technology,Semiconductors
SBUX,07/29/2026,Consumer Cyclical,Restaurants
CHRW,07/29/2026,Industrials,Integrated Freight and Logistics
META,07/29/2026,Communication Services,Internet Content and Information
BSX,07/29/2026,Healthcare,Medical Devices
CVNA,07/29/2026,Consumer Cyclical,Auto and Truck Dealerships
CMG,07/29/2026,Consumer Cyclical,Restaurants
TT,07/29/2026,Industrials,Building Products and Equipment
VRSK,07/29/2026,Industrials,Consulting Services
HOOD,07/29/2026,Financials,Capital Markets
AEM,07/29/2026,Basic Materials,Gold Miners
ORLY,07/29/2026,Consumer Cyclical,Specialty Retail
WING,07/29/2026,Consumer Cyclical,Restaurants
FTNT,07/29/2026,Technology,Software Infastructure
AER,07/29/2026,Industrials,Rental and Leasing Services
AWK,07/29/2026,Utilities,Regulated Water
ITW,07/29/2026,Industrials,Special Industrial Machinery
PG,07/29/2026,Consumer Defensive,Household and Personal Products
ETSY,07/29/2026,Consumer Cyclical,Internet Retail
HUM,07/29/2026,Healthcare,Healthcare Plans
TER,07/29/2026,Technology,Semiconductors Equipment and Materials
WHR,07/29/2026,Consumer Cyclical,Furnishings/Fixtures/Appliances
AGI,07/29/2026,Basic Materials,Gold Miners
MSFT,07/29/2026,Technology,Software Infastructure
EBAY,07/29/2026,Consumer Cyclical,Internet Retail
ARM,07/29/2026,Technology,Semiconductors
APH,07/29/2026,Technology,Electronic Components
ADP,07/29/2026,Technology,Software Application
DXCM,07/29/2026,Healthcare,Medical Devices
PRU,07/29/2026,Financials,Insurance Life
AMZN,07/30/2026,Consumer Cyclical,Internet Retail
XEL,07/30/2026,Utilities,Regulated Electric
AEP,07/30/2026,Utilities,Regulated Electric
IR,07/30/2026,Industrials,Special Industrial Machinery
NCLH,07/30/2026,Consumer Cyclical,Travel Services
HSY,07/30/2026,Consumer Defensive,Confectioners
CI,07/30/2026,Healthcare,Healthcare Plans
VMC,07/30/2026,Basic Materials,Building Materials
D,07/30/2026,Utilities,Regulated Electric
EXC,07/30/2026,Utilities,Regulated Electric
H,07/30/2026,Consumer Cyclical,Lodging
LKQ,07/30/2026,Consumer Cyclical,Auto Parts
PPL,07/30/2026,Utilities,Regulated Electric
BLDR,07/30/2026,Industrials,Building Products and Equipment
SO,07/30/2026,Utilities,Regulated Electric
HUN,07/30/2026,Basic Materials,Chemicals
BMY,07/30/2026,Healthcare,Drug Manufacturers - General
MA,07/30/2026,Financials,Credit Services
CTVA,07/30/2026,Basic Materials,Agricultural Inputs
MPWR,07/30/2026,Technology,Semiconductors
